country,ID,family_importance,friends_importance,leisure_importance,work_importance,freedom,life_satisfaction,financial_satisfaction,religiousity,political_scale,sex,birthyear,age,marital_status,employment
CAN,124071532,1,2,3,1,10,7,4,Not a religious person,5,Female,1988,32,Living together as married,Full time
CAN,124071533,2,1,2,1,6,10,10,A religious person,5,Female,1995,25,Single,Full time
CAN,124071535,2,2,2,2,4,6,6,A religious person,6,Male,1973,46,Separated,Self employed
CAN,124071536,1,1,1,2,9,9,7,Not a religious person,2,Male,2001,18,Single,Student
CAN,124071538,1,1,1,1,9,9,8,Not a religious person,10,Male,1980,40,Married,Full time
CAN,124071540,1,1,1,4,10,10,10,Not a religious person,5,Female,1960,60,Single,Other
CAN,124071541,2,2,4,2,1,1,7,Not a religious person,5,Male,1988,32,Single,Full time
CAN,124071542,2,2,1,2,8,8,8,An atheist,7,Male,1993,26,Single,Full time
CAN,124071543,1,2,2,3,8,7,7,Not a religious person,5,Female,2000,20,Married,Student
CAN,124071544,1,2,1,2,9,9,7,A religious person,2,Female,1985,35,Married,Homemaker not otherwise employed
CAN,124071546,1,1,2,1,9,9,9,Not a religious person,4,Female,1955,65,Married,Retired/pensioned
CAN,124071548,2,1,3,1,7,6,6,Not a religious person,6,Male,1968,52,Single,Unemployed
CAN,124071549,1,2,1,1,6,3,1,A religious person,5,Female,1978,42,Divorced,Full time
CAN,124071551,1,1,2,2,8,8,10,Not a religious person,6,Male,1958,62,Living together as married,Retired/pensioned
CAN,124071553,1,1,1,1,8,7,7,Not a religious person,3,Female,1973,46,Single,Part time
CAN,124071555,1,1,1,4,4,5,4,A religious person,1,Female,1957,63,Divorced,Retired/pensioned
CAN,124071556,2,2,2,3,7,7,6,Not a religious person,3,Female,1999,21,Single,Student
CAN,124071557,1,1,1,1,10,8,8,Not a religious person,5,Female,1967,53,Divorced,Retired/pensioned
CAN,124071558,1,1,1,2,7,7,7,A religious person,10,Male,1984,36,Married,Retired/pensioned
CAN,124071560,1,1,1,1,5,6,5,Not a religious person,8,Male,1979,41,Married,Full time
CAN,124071561,1,1,2,1,8,8,6,A religious person,5,Female,1988,32,Divorced,Full time
CAN,124071562,1,2,2,3,7,7,7,Not a religious person,6,Male,1947,73,Widowed,Self employed
CAN,124071563,1,1,1,2,7,9,7,A religious person,5,Female,1965,54,Married,Full time
CAN,124071564,1,2,2,2,5,8,6,An atheist,2,Female,1951,69,Married,Retired/pensioned
CAN,124071565,1,1,3,2,10,7,8,A religious person,5,Male,1995,25,Married,Full time
CAN,124071567,2,1,2,2,8,8,8,An atheist,3,Female,1952,68,Divorced,Retired/pensioned
CAN,124071568,1,1,1,1,10,7,8,A religious person,5,Female,1948,72,Widowed,Retired/pensioned
CAN,124071569,1,2,2,2,8,8,7,A religious person,5,Female,1972,48,Married,Student
CAN,124071570,1,2,3,4,4,4,1,A religious person,5,Female,1940,80,Widowed,Retired/pensioned
CAN,124071571,1,1,1,1,9,7,4,Not a religious person,5,Female,1979,41,Living together as married,Full time
CAN,124071572,1,3,2,3,9,8,7,Not a religious person,1,Female,1972,48,Married,Homemaker not otherwise employed
CAN,124071573,1,1,1,1,9,3,5,Not a religious person,6,Female,1982,37,Single,Unemployed
CAN,124071574,2,1,1,1,6,6,6,Not a religious person,5,Male,1970,50,Married,Full time
CAN,124071575,1,1,1,3,7,9,4,A religious person,5,Female,2000,20,Single,Part time
CAN,124071576,1,2,1,1,8,10,7,A religious person,8,Male,1976,44,Married,Full time
CAN,124071577,1,1,1,2,9,9,8,Not a religious person,6,Male,1990,30,Married,Student
CAN,124071585,2,2,1,2,10,10,10,Not a religious person,6,Female,1994,26,Single,Unemployed
CAN,124071586,3,1,1,2,7,5,4,An atheist,3,Female,1995,25,Single,Unemployed
CAN,124071618,1,1,1,4,7,9,8,Not a religious person,5,Female,1955,65,Married,Retired/pensioned
CAN,124071684,1,1,1,1,8,9,8,Not a religious person,3,Male,1987,33,Single,Self employed
CAN,124071685,1,1,1,1,7,7,7,A religious person,6,Female,1964,55,Single,Unemployed
CAN,124071686,1,1,1,1,9,9,7,A religious person,6,Female,1958,62,Living together as married,Full time
CAN,124071687,2,3,2,2,7,1,6,A religious person,5,Male,1976,43,Divorced,Full time
CAN,124071688,1,1,1,2,4,5,4,Not a religious person,5,Female,1996,24,Single,Unemployed
CAN,124071689,1,1,1,3,6,5,5,A religious person,5,Female,1966,54,Married,Self employed
CAN,124071690,2,1,1,2,8,7,5,A religious person,10,Male,1964,56,Single,Full time
CAN,124071717,1,1,1,2,8,7,8,Not a religious person,7,Male,1990,30,Living together as married,Full time
CAN,124071718,1,1,1,3,6,7,7,Not a religious person,1,Female,1988,31,Single,Full time
CAN,124071719,1,2,2,3,7,6,7,Not a religious person,3,Female,1971,49,Divorced,Retired/pensioned
CAN,124071720,2,1,2,2,8,7,3,Not a religious person,3,Female,1964,56,Widowed,Other
CAN,124071721,2,2,2,1,6,7,5,A religious person,5,Female,1992,28,Living together as married,Homemaker not otherwise employed
CAN,124071723,2,2,1,2,10,8,8,A religious person,8,Male,1988,32,Married,Full time
CAN,124071727,1,1,1,1,10,10,10,An atheist,10,Female,1981,39,Married,Homemaker not otherwise employed
CAN,124071728,2,3,1,3,3,4,4,An atheist,9,Male,1987,33,Single,Unemployed
CAN,124071729,2,1,1,2,4,4,5,Not a religious person,6,Male,1950,70,Single,Full time
CAN,124071730,1,1,2,2,10,8,10,Not a religious person,1,Female,1968,52,Living together as married,Full time
CAN,124071731,1,1,1,2,9,9,9,A religious person,8,Male,1973,47,Married,Full time
CAN,124071732,1,1,2,2,9,9,10,An atheist,3,Female,1983,37,Living together as married,Full time
CAN,124071733,2,3,3,4,1,1,1,A religious person,5,Female,1994,26,Single,Other
CAN,124071734,1,3,1,2,8,8,8,A religious person,3,Male,1962,58,Living together as married,Full time
CAN,124071735,1,2,2,3,10,8,7,Not a religious person,6,Male,1981,38,Living together as married,Part time
CAN,124071737,2,2,1,1,10,8,10,A religious person,10,Male,1988,32,Married,Full time
CAN,124071738,2,2,2,3,7,7,8,An atheist,4,Male,1978,42,Single,Full time
CAN,124071739,1,2,3,2,7,5,1,Not a religious person,2,Female,1993,27,Living together as married,Homemaker not otherwise employed
CAN,124071740,1,2,1,1,8,9,5,Not a religious person,5,Male,1967,53,Married,Full time
CAN,124071741,1,1,1,2,6,4,4,Not a religious person,4,Female,1992,28,Single,Student
CAN,124071742,1,1,2,2,4,1,1,An atheist,3,Female,1991,29,Single,Student
CAN,124071743,1,2,1,2,9,9,9,A religious person,9,Male,1965,55,Divorced,Full time
CAN,124071744,2,2,2,2,9,8,7,Not a religious person,5,Female,1969,50,Living together as married,Full time
CAN,124071745,1,2,1,3,6,7,4,An atheist,5,Female,1995,25,Single,Full time
CAN,124071746,1,1,2,1,5,3,9,Not a religious person,1,Female,1990,30,Living together as married,Full time
CAN,124071748,1,4,2,1,5,5,5,Not a religious person,5,Male,1976,43,Married,Full time
CAN,124071749,1,1,1,3,9,7,8,Not a religious person,3,Male,1957,63,Single,Full time
CAN,124071750,1,2,2,4,7,6,7,An atheist,2,Female,1954,66,Widowed,Retired/pensioned
CAN,124071752,1,1,1,1,7,6,7,An atheist,3,Female,1944,76,Divorced,Part time
CAN,124071754,1,2,2,2,9,7,5,A religious person,5,Female,1979,40,Married,Full time
CAN,124071755,1,1,1,4,7,7,6,A religious person,5,Female,1966,53,Married,Other
CAN,124071756,1,1,1,3,8,8,8,Not a religious person,5,Female,1958,62,Living together as married,Retired/pensioned
CAN,124071759,1,1,1,2,9,10,4,Not a religious person,6,Female,1999,21,Single,Full time
CAN,124071761,1,3,2,4,3,5,5,An atheist,2,Male,1956,64,Married,Retired/pensioned
CAN,124071762,1,1,1,2,6,7,6,An atheist,3,Male,1983,37,Married,Full time
CAN,124071763,1,1,1,2,8,8,7,A religious person,8,Female,1980,40,Single,Full time
CAN,124071764,1,1,1,4,7,8,7,A religious person,5,Female,1955,65,Divorced,Retired/pensioned
CAN,124071765,1,2,1,2,10,9,9,Not a religious person,8,Female,1968,52,Living together as married,Self employed
CAN,124071767,1,1,1,1,10,6,4,A religious person,8,Female,1978,42,Divorced,Full time
CAN,124071768,1,1,1,1,7,5,1,Not a religious person,5,Female,1968,52,Divorced,Unemployed
CAN,124071770,2,2,1,1,9,7,5,Not a religious person,10,Male,1984,36,Married,Full time
CAN,124071771,1,2,1,2,10,9,8,A religious person,10,Male,1993,26,Married,Full time
CAN,124071772,1,2,1,1,8,7,6,A religious person,8,Male,1971,48,Married,Self employed
CAN,124071775,1,2,1,1,8,8,7,A religious person,7,Female,1995,25,Living together as married,Student
CAN,124071777,1,2,2,1,7,7,8,A religious person,3,Male,1955,65,Married,Retired/pensioned
CAN,124071778,1,3,3,2,8,9,8,A religious person,5,Female,1986,34,Married,Homemaker not otherwise employed
CAN,124071779,1,2,1,2,10,9,10,Not a religious person,9,Male,1992,27,Married,Full time
CAN,124071780,4,1,2,2,10,8,7,A religious person,2,Female,1943,77,Divorced,Self employed
CAN,124071781,1,1,2,1,8,9,9,A religious person,6,Male,1980,39,Single,Full time
CAN,124071782,1,1,2,4,8,6,6,Not a religious person,4,Female,1952,68,Single,Retired/pensioned
CAN,124071783,1,2,1,1,8,7,5,A religious person,5,Female,1989,31,Living together as married,Self employed
CAN,124071784,1,3,2,2,7,6,1,Not a religious person,5,Female,1990,30,Married,Homemaker not otherwise employed
CAN,124071785,1,1,1,1,5,5,5,Not a religious person,5,Female,1987,33,Married,Homemaker not otherwise employed
CAN,124071786,1,1,1,1,9,9,8,Not a religious person,7,Female,1991,29,Living together as married,Full time
CAN,124071787,1,2,3,2,8,8,5,Not a religious person,9,Male,1976,44,Living together as married,Self employed
CAN,124071788,1,1,1,1,8,7,7,An atheist,5,Female,1994,26,Living together as married,Student
CAN,124071789,1,1,1,1,8,9,8,A religious person,9,Male,1987,32,Married,Full time
CAN,124071793,1,1,1,1,9,6,8,An atheist,5,Female,1985,35,Single,Self employed
CAN,124071794,1,1,1,2,10,10,10,A religious person,10,Male,1993,26,Married,Full time
CAN,124071795,1,2,1,2,7,8,8,A religious person,8,Male,1970,50,Married,Full time
CAN,124071798,1,1,2,3,8,7,7,Not a religious person,3,Male,1943,77,Married,Retired/pensioned
CAN,124071799,1,1,2,2,7,7,7,Not a religious person,5,Female,1986,34,Married,Full time
CAN,124071801,1,2,1,4,10,8,10,Not a religious person,6,Male,1953,67,Married,Retired/pensioned
CAN,124071802,1,1,2,1,7,7,8,A religious person,3,Female,1955,65,Married,Retired/pensioned
CAN,124071806,4,2,2,3,6,6,6,Not a religious person,7,Male,1964,55,Living together as married,Retired/pensioned
CAN,124071808,1,1,1,4,8,7,8,An atheist,6,Female,1956,63,Living together as married,Retired/pensioned
CAN,124071809,1,2,2,1,7,6,5,An atheist,7,Female,1983,36,Married,Full time
CAN,124071810,1,1,1,2,8,8,9,A religious person,4,Male,1949,71,Living together as married,Retired/pensioned
