ID,country,family_importance,friends_importance,leisure_importance,work_importance,freedom,life_satisfaction,financial_satisfaction,political_scale,birthyear,age,religiousity,sex,marital_status,employment
702070345,SGP,1,2,2,2,5,7,6,6,1970,50,A religious person,Male,Married,Full time
702070346,SGP,1,2,2,3,8,8,7,6,1978,42,Not a religious person,Male,Married,Full time
702070347,SGP,1,1,1,1,7,7,7,5,1977,42,A religious person,Female,Single,Full time
702070348,SGP,1,2,2,3,7,7,7,5,1960,60,A religious person,Female,Married,Retired/pensioned
702070349,SGP,1,1,1,1,10,7,6,3,1998,22,Not a religious person,Male,Single,Other
702070350,SGP,1,1,1,2,7,7,7,5,1964,56,A religious person,Male,Married,Full time
702070351,SGP,1,2,1,2,4,7,8,-1,1998,22,A religious person,Male,Single,Student
702070352,SGP,1,2,2,1,5,5,5,-1,1975,45,,Female,Divorced,Unemployed
702070353,SGP,1,1,3,1,9,9,8,5,1986,34,Not a religious person,Male,Living together as married,Full time
702070354,SGP,1,2,2,2,6,7,7,5,1947,73,An atheist,Male,Married,Retired/pensioned
702070355,SGP,1,2,1,2,7,8,5,7,1993,27,A religious person,Male,Single,Full time
702070356,SGP,1,1,1,2,9,9,9,2,1971,49,An atheist,Male,Married,Full time
702070357,SGP,1,2,1,1,6,6,6,5,1982,38,Not a religious person,Female,Married,Full time
702070358,SGP,1,2,2,1,8,9,8,8,1974,46,Not a religious person,Male,Married,Full time
702070359,SGP,1,2,2,2,9,8,8,5,1946,74,Not a religious person,Male,Married,Retired/pensioned
702070360,SGP,1,1,1,2,8,8,8,5,1976,44,Not a religious person,Female,Married,Full time
702070361,SGP,1,1,1,2,8,8,6,2,1995,25,An atheist,Male,Single,Student
702070362,SGP,1,2,2,1,8,3,3,2,1950,70,A religious person,Female,Married,Homemaker
702070363,SGP,1,2,2,2,6,8,9,7,1947,73,A religious person,Female,Single,Full time
702070364,SGP,1,2,2,2,8,8,10,7,1953,67,A religious person,Male,Married,Retired/pensioned
702070365,SGP,1,2,3,1,-2,6,6,10,1966,54,Not a religious person,Male,Married,Full time
702070366,SGP,2,2,1,1,8,7,3,4,1984,36,An atheist,Male,Single,Full time
702070367,SGP,1,1,1,2,8,8,8,7,1989,30,Not a religious person,Male,Single,Full time
702070368,SGP,1,1,1,2,7,9,8,5,1980,39,A religious person,Female,Married,Full time
702070369,SGP,1,2,2,1,10,7,8,5,1942,78,A religious person,Female,Married,Retired/pensioned
702070370,SGP,1,2,3,1,5,10,7,3,1944,76,,Female,Married,Retired/pensioned
702070371,SGP,1,1,2,1,8,8,8,5,1962,58,Not a religious person,Male,Married,Full time
702070372,SGP,1,1,1,1,10,7,9,-1,1954,66,A religious person,Female,Divorced,Full time
702070373,SGP,1,1,1,1,7,8,9,4,1969,50,Not a religious person,Female,Married,Unemployed
702070374,SGP,1,2,2,4,8,8,8,-1,1958,61,An atheist,Female,Widowed,Retired/pensioned
702070375,SGP,1,2,3,4,8,7,7,6,1963,57,Not a religious person,Male,Married,Homemaker
702070376,SGP,1,1,2,1,10,8,8,6,1955,65,A religious person,Male,Married,Self employed
702070377,SGP,1,1,1,2,8,8,8,8,1971,49,A religious person,Female,Married,Part time
702070378,SGP,1,1,2,2,2,2,10,3,1998,22,Not a religious person,Male,Single,Student
702070379,SGP,1,1,3,4,6,10,6,10,1948,71,A religious person,Female,Married,Homemaker
702070380,SGP,1,1,2,1,8,8,8,10,1953,66,A religious person,Female,Single,Retired/pensioned
702070381,SGP,1,2,3,4,8,7,7,8,1966,54,A religious person,Female,Single,Unemployed
702070382,SGP,1,2,2,2,5,6,5,6,1988,31,A religious person,Female,Married,Full time
702070383,SGP,1,1,2,2,9,9,9,9,1966,54,A religious person,Male,Married,Full time
702070384,SGP,1,2,2,1,9,9,9,7,1946,74,Not a religious person,Female,Widowed,Retired/pensioned
702070385,SGP,2,2,1,2,3,2,1,1,1987,33,Not a religious person,Female,Single,Self employed
702070386,SGP,1,1,1,2,8,8,8,4,1998,22,A religious person,Female,Single,Student
702070387,SGP,1,2,1,1,5,7,1,5,1986,33,A religious person,Male,Married,Unemployed
702070388,SGP,1,3,2,1,10,8,1,1,1991,29,Not a religious person,Female,Married,Homemaker
702070389,SGP,1,1,1,1,7,7,6,5,1963,56,A religious person,Female,Married,Homemaker
702070390,SGP,2,2,2,2,6,6,6,6,1995,24,Not a religious person,Male,Single,Other
702070391,SGP,1,2,2,2,6,7,6,1,1983,37,An atheist,Female,Married,Full time
702070392,SGP,1,1,2,3,6,5,6,8,1946,73,A religious person,Female,Married,Retired/pensioned
